stop_id,stop_name,stop_lat,stop_lon,stop_IBNR
251555,Łódź Pabianicka,51.72641710553,19.4451013029,6497
55145,Jedlina-Zdrój,50.71155241729,16.34301602304,
56093,Jelenia Góra Cieplice,50.87010481896,15.68874476231,6166
51508,Kraśnik,50.92946229381,22.2834988062,2121
40808,Biała Podlaska,52.02033370388,23.1305732068,3
56713,Paczków,50.47840993325,17.01118203309,6330
29405,Choszczno,53.16524892098,15.40335939926,19
7500,Gdańsk Główny,54.35643747799,18.64413141132,40
8961,Czarna Woda,53.85128125876,18.10877386083,5098
64451,Jędrzejów,50.64475357679,20.27593224281,2096
19190,Piotrków Kujawski,52.53779355906,18.51947306514,5481
67009,Kędzierzyn Koźle,50.34505220673,18.20473906867,72
25205,Czeremcha,52.51867068876,23.35354454233,424
48827,Drzewica,51.43699538572,20.46566942328,34
36509,Legionowo,52.40140810951,20.94165234261,428
12872,Trakiszki,54.23942758887,23.20794756812,415
65904,Zamość,50.71354997323,23.239233,254
29181,Dobiegniew,52.96838288147,15.74703357535,8094
8979,Łąg,53.83092531709,18.06266191197,5360
24638,Szepietowo,52.87006765067,22.54107530054,208
41277,Małomice,51.5496823915,15.4469895364,7273
7583,Gdańsk Oliwa,54.40984425779,18.5718739534,5150
45476,Ostrzeszów,51.4296015581,17.94054666434,7338
25403,Hajnówka,52.73242303431,23.58373045385,423
5942,Sopot,54.43995694985,18.56235946849,190
79905,Kraków Płaszów,50.03446370099,19.97543319497,86
65300,Sandomierz,50.6605739154,21.76532525756,179
51847,Zgorzelec,51.14018025005,15.00259207693,264
1404,Goleniów,53.55909731774,14.83954776098,506
66134,Hrubieszów Miasto,50.79696043575,23.90884100854,2083
58271,Oława,50.9309804404,17.29699599133,6314
6098,Rumia,54.56902057926,18.38674911037,5538
36707,Nasielsk,52.57283001138,20.76804374603,131
80986,Tuchów,49.8920200831,21.05657293692,3309
32904,Łowicz Główny,52.10521690787,19.95498597086,110
73908,Jaworzno Szczakowa,50.2463654005,19.29713104255,60
24539,Łapy,52.99023412489,22.88397113609,108
25353,Nurzec,52.46006477662,23.08304835449,1311
10405,Kętrzyn,54.07262720034,21.38515338756,408
78345,Kalwaria Zebrzydowska Lanckorona,49.87108770433,19.68870826434,709
50948,Chełm Miasto,51.13799468398,23.45814500337,2045
65144,Rudnik nad Sanem,50.43587286757,22.24895093019,2203
70201,Pyskowice,50.38401739141,18.61866437566,716
57703,Ząbkowice Śląskie,50.59734287465,16.81274055362,6543
26211,Nowy Tomyśl,52.30412409838,16.13304662706,7317
38885,Otwock,52.10961288372,21.26300835582,147
24430,Bielsk Podlaski,52.7617180417,23.18770672342,8
3517,Chociwel,53.47076432765,15.33607448192,8063
48355,Radom Główny,51.39107956687,21.1559020539,169
53280,Lubin,51.3961934329,16.19368671298,279
5900,Gdynia Główna,54.52128410189,18.52806359468,41
46581,Pabianice,51.66080053969,19.32482150618,148
64303,Sędziszów,50.56579676406,20.05489891086,2212
45617,Wieruszów Miasto,51.29912719792,18.16577552676,7533
48736,Pionki Zachodnie,51.47189826741,21.44120349934,152
73312,Katowice,50.25761103501,19.01740878365,71
77834,Chrzanów Śródmieście,50.1440642364,19.41376705146,3054
18200,Nakło nad Notecią,53.142570647,17.60715211531,512
81125,Bobowa Miasto,49.70818608951,20.93904963508,3037
45682,Wieluń,51.22344251522,18.5826561733,237
67066,Zdzieszowice,50.42184403002,18.12642853642,4395
42606,Leszno,51.84647952492,16.56557230111,100
44420,Żmigród,51.47485191109,16.90180355369,6557
19901,Toruń Wschodni,53.02627374254,18.63324836377,227
33506,Warszawa Zachodnia,52.21995562238,20.96576919014,404
37226,Mława,53.12646126612,20.35064938756,422
60103,Wrocław Główny,51.09805619991,17.03685973882,248
19703,Toruń Główny,53.00028543145,18.61523577175,226
10934,Pasłęk,54.05549901392,19.65647127013,149
56184,Szklarska Poręba Górna,50.83266886434,15.51872596693,209
81067,Bogoniowice Ciężkowice,49.79826770216,20.97655155797,3039
50807,Rejowiec,51.11755257754,23.23950290941,173
32540,Ozorków,51.97250907933,19.26593183935,1333
53009,Legnica,51.21400115827,16.16883872867,99
30007,Września,52.32755673486,17.55531548381,250
38729,Sulejówek Miłosna,52.24048288352,21.29895841601,1445
21808,Iława Główna,53.58231351954,19.57368118092,53
15354,Złotów,53.35922537361,17.05310625693,8456
29215,Nowe Drezdenko,52.85381062199,15.83407429203,8253
56903,Prudnik,50.32914061399,17.57744390754,161
32607,Płock,52.55274238269,19.71269974603,156
46409,Łódź Widzew,51.76321082812,19.54318695347,114
81604,Stróże,49.65475123367,20.97622435956,195
82578,Wierchomla Wielka,49.40255338727,20.75523721033,3325
65532,Nowa Dęba,50.41544555368,21.7398056001,2167
5108,Sławno,54.3556494354,16.66879392961,187
34207,Żyrardów,52.05234533554,20.44856070399,1566
50104,Nałęczów,51.31807269238,22.21296795595,130
81208,Dębica,50.05405500371,21.40445496407,31
29108,Krzyż,52.8772801966,16.01801163281,90
1107,Szczecin Dąbie,53.39123361294,14.66926219396,200
54817,Świdnica Miasto,50.84112363519,16.48150919795,213
46458,Łódź Fabryczna,51.76956162252,19.46956420169,112
47605,Tomaszów Mazowiecki,51.54681097307,20.03376730833,225
55665,Janowice Wielkie,50.87851661199,15.9187708272,6155
20743,Wąbrzeźno,53.26501488054,18.98184118506,5672
30809,Gniezno,52.52968955788,17.60357013519,45
66589,Zwierzyniec,50.60920539748,22.98429796271,2307
22004,Ostróda,53.69967504512,19.95142715682,144
26161,Babimost,52.16850193898,15.81518693923,7022
83105,Przeworsk,50.06725141172,22.50268644933,163
53850,Bolesławiec,51.26609729848,15.56960104823,10
80630,Tarnów,50.00531942647,20.97452997647,220
48009,Skarżysko Kamienna,51.11591040278,20.88136602447,185
33472,Warszawa Główna,52.22514314412,20.98546389815,1477
61903,Gogolin,50.49288100669,18.01886108457,6129
59808,Strzelin,50.7846554663,17.06033877261,6436
12336,Biała Piska,53.61494359299,22.06528369869,1041
258708,Sucha Beskidzka Zamek,49.74347611177,19.60342883527,3392
47886,Radomsko,51.07473698255,19.43759879597,170
46805,Zgierz,51.84930968801,19.42559837759,702
258468,Zamość Wschód,50.72251787642,23.27600378741,276
48801,Przysucha,51.37805592715,20.6587555324,164
50906,Chełm,51.14124000061,23.49326282389,16
24802,Sokółka,53.40325782489,23.50737489028,189
59105,Wrocław Nadodrze,51.1256883954,17.0334276238,6516
75788,Skoczów,49.79354529741,18.79014014661,
83535,Krosno Miasto,49.6826876126,21.77269317516,3140
14514,Wyrzysk Osiek,53.11906715956,17.29337381655,8447
59576,Oleśnica Rataje,51.21584759927,17.36443823223,6311
44842,Pleszew,51.89250513527,17.73247445481,155
51177,Krasnystaw Miasto,50.98511134643,23.18297937705,2120
47258,Koluszki,51.74339815459,19.81837887943,76
82099,Piwniczna Zdrój,49.44071314858,20.71738364403,3216
81703,Gorlice Zagórzany,49.69416026267,21.19548618257,3079
51805,Węgliniec,51.29011852119,15.22298410229,235
82073,Rytro,49.4865413333,20.68026774404,3256
73502,Mysłowice,50.23809360671,19.14153662356,4222
12369,Pisz,53.63182419077,21.79292007566,436
32433,Żychlin,52.21311918462,19.61909293056,1564
21204,Brodnica,53.26365677302,19.40584122598,5052
65029,Stalowa Wola Centrum,50.57066449887,22.05472239413,2227
45245,Kalisz,51.74278329437,18.07118445486,65
82487,Krynica Zdrój,49.40965968433,20.95715117422,89
14704,Wałcz,53.27510473715,16.48431759469,8423
18408,Bydgoszcz Główna,53.13528294461,17.99163586184,14
39974,Radzyń Podlaski,51.82712515124,22.66861437678,1385
48959,Opoczno Południe,51.35914690831,20.23239611506,
76901,Goleszów,49.74686280831,18.74919354379,
233222,Siedlce Zachodnie,52.17351388703,22.2355422324,202
67462,Głogówek,50.34760123367,17.87576932675,6117
84301,Radymno,49.93949300812,22.8290715277,3245
54205,Rokitki,51.33566591902,15.89315055728,6389
51102,Dorohusk,51.17210046763,23.78424703807,706
77057,Ustroń Polana,49.69672804322,18.83002727956,
78535,Maków Podhalański,49.72682861133,19.6776473884,3166
68205,Rybnik,50.08906167788,18.54784547746,175
46706,Łódź Kaliska,51.75786647986,19.42983100106,113
41202,Żagań,51.60411323724,15.31502653134,269
39404,Siedlce,52.16181364664,22.27167427003,182
27300,Sulechów,52.09276931251,15.61872001401,196
56408,Kamieniec Ząbkowicki,50.53616772711,16.89894453563,67
45401,Kępno,51.29197634618,18.00140641668,903
7112,Tczew,54.09745621809,18.78960368872,221
34165,Grodzisk Mazowiecki,52.11021993141,20.62252647354,1149
82552,Żegiestów Zdrój,49.36274740922,20.80383286586,271
251561,Łódź Dąbrowa,51.73592584622,19.51061381349,6498
15529,Lipka Krajeńska,53.49734059016,17.25740911939,8201
39321,Sobolew,51.74134575258,21.673084459,1422
46649,Łask,51.60372042378,19.11212892399,1248
62802,Częstochowa Stradom,50.7972075927,19.10762895397,4085
79657,Bochnia,49.9773503436,20.43153122078,9
78980,Poronin,49.34315915598,20.00358871285,3225
24133,Mońki,53.40236162335,22.79687370076,1287
83022,Łańcut,50.08174555422,22.22795258547,107
1024,Międzyzdroje,53.92428980699,14.45527677392,124
65243,Zaklików,50.76843285504,22.10793206546,2300
15602,Chojnice,53.68889583547,17.57791578233,18
55103,Wałbrzych Główny,50.74332995856,16.28095583203,241
77701,Krzeszowice,50.13093009818,19.63411147213,3145
14761,Tuczno Krajeńskie,53.21895710594,16.17519857003,8414
60335,Wołów,51.33371086352,16.63311674999,247
65003,Stalowa Wola Rozwadów,50.59132724573,22.04195261785,193
48181,Starachowice Wschodnie,51.04173127118,21.07907576336,2230
7872,Malbork,54.03621384954,19.04257891417,117
60400,Ścinawa,51.4091782138,16.42173497635,210
81265,Sędziszów Małopolski,50.07552395105,21.69121041341,3266
12609,Giżycko,54.03136915601,21.77804811001,42
61341,Byczyna Kluczborska,51.11371109591,18.1998799207,6067
42002,Nowa Sól,51.79912167571,15.70874382983,133
28472,Swarzędz,52.40418947752,17.0736819452,521
56523,Bardo Śląskie,50.50484068595,16.73409309296,6022
36343,Wołomin,52.34664299751,21.23811721265,1529
74658,Sosnowiec Główny,50.27889039075,19.12631094158,191
69203,Żory,50.05308148321,18.70202421069,719
44305,Rawicz,51.60877741913,16.83979934136,171
65466,Tarnobrzeg,50.56800523269,21.69629665688,2263
58651,Wrocław Mikołajów,51.11642853085,16.99842626911,6514
37911,Łochów,52.53397373547,21.68755579762,1255
8409,Pelplin,53.9272631663,18.70796312623,5468
39206,Pilawa,51.95562237451,21.53356362698,150
