Station Name,Travel Time
Poznań Główny_i,0
Poznań Główny_o,21
Środa Wielkopolska_i,2
Środa Wielkopolska_o,19
Jarocin_i,1
Jarocin_o,11
Pleszew_i,1
Pleszew_o,17
Ostrów Wielkopolski_i,1
Ostrów Wielkopolski_o,17
Ostrzeszów_i,1
Ostrzeszów_o,12
Kępno_i,1
Kępno_o,15
Byczyna Kluczborska_i,1
Byczyna Kluczborska_o,11
Kluczbork_i,1
Kluczbork_o,13
Olesno Śląskie_i,1
Olesno Śląskie_o,18
Lubliniec_i,1
Lubliniec_o,30
Pyskowice_i,2
Pyskowice_o,11
Gliwice_i,1
Gliwice_o,6
Zabrze_i,1
Zabrze_o,9
Chorzów Batory_i,1
Chorzów Batory_o,6
Katowice_i,0
Katowice_o,1753
