Station Name,Travel Time
Lublin Główny                    ,4
Lublin Zachodni                  ,11
Nałęczów                         ,10
Puławy Miasto                    ,30
Pionki Zachodnie                 ,14
Radom Główny                     ,23
Skarżysko Kamienna               ,6
Suchedniów                       ,25
Kielce                           ,29
Jędrzejów                        ,13
Sędziszów                        ,16
Miechów                          ,29
Kraków Główny                    ,1818
