Station Name,Travel Time
Lublin Główny                    ,5
Lublin Zachodni                  ,12
Nałęczów                         ,10
Puławy Miasto                    ,11
Dęblin                           ,11
Sobolew                          ,12
Pilawa                           ,12
Otwock                           ,19
Warszawa Wschodnia               ,6
Warszawa Centralna               ,3
Warszawa Zachodnia               ,29
Sochaczew                        ,13
Łowicz Główny                    ,20
Kutno                            ,30
Włocławek                        ,19
Aleksandrów Kujawski             ,13
Toruń Główny                     ,17
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,3
Bydgoszcz Leśna                  ,4
Bydgoszcz Główna                 ,26
Nakło nad Notecią                ,17
Wyrzysk Osiek                    ,28
Piła Główna                      ,34
Wałcz                            ,22
Tuczno Krajeńskie                ,20
Kalisz Pomorski                  ,22
Recz Pomorski                    ,39
Stargard                         ,25
Szczecin Dąbie                   ,14
Szczecin Główny                  ,0623
