Station Name,Travel Time
Suwałki                          ,22
Augustów                         ,23
Dąbrowa Białostocka              ,23
Sokółka                          ,34
Białystok                        ,3
Białystok Zielone Wzgórza        ,13
Łapy                             ,28
Szepietowo                       ,10
Czyżew                           ,11
Małkinia                         ,12
Łochów                           ,9
Tłuszcz                          ,7
Wołomin                          ,15
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,30
Sochaczew                        ,12
Łowicz Główny                    ,20
Kutno                            ,22
Koło                             ,15
Konin                            ,12
Słupca                           ,12
Września                         ,19
Swarzędz                         ,18
Poznań Główny                    ,18
Szamotuły                        ,10
Wronki                           ,18
Krzyż                            ,16
Dobiegniew                       ,26
Choszczno                        ,29
Stargard                         ,19
Szczecin Dąbie                   ,11
Szczecin Główny                  ,15
Szczecin Dąbie                   ,16
Goleniów                         ,17
Wysoka Kamieńska                 ,20
Międzyzdroje                     ,11
Świnoujście                      ,0640
