Station Name,Travel Time
Kraków Główny                    ,17
Krzeszowice                      ,8
Trzebinia                        ,10
Jaworzno Szczakowa               ,9
Mysłowice                        ,10
Katowice                         ,14
Zabrze                           ,7
Gliwice                          ,10
Pyskowice                        ,16
Strzelce Opolskie                ,21
Opole Główne                     ,22
Brzeg                            ,9
Oława                            ,20
Wrocław Główny                   ,1948
