Station Name,Travel Time
Katowice_i,0
Katowice_o,6
Chorzów Batory_i,1
Chorzów Batory_o,8
Zabrze_i,1
Zabrze_o,6
Gliwice_i,2
Gliwice_o,9
Pyskowice_i,4
Pyskowice_o,29
Lubliniec_i,4
Lubliniec_o,18
Olesno Śląskie_i,1
Olesno Śląskie_o,13
Kluczbork_i,1
Kluczbork_o,10
Byczyna Kluczborska_i,1
Byczyna Kluczborska_o,16
Kępno_i,1
Kępno_o,13
Ostrzeszów_i,1
Ostrzeszów_o,17
Ostrów Wielkopolski_i,2
Ostrów Wielkopolski_o,21
Pleszew_i,1
Pleszew_o,11
Jarocin_i,1
Jarocin_o,19
Środa Wielkopolska_i,1
Środa Wielkopolska_o,20
Poznań Główny_i,0
Poznań Główny_o,642
