Station Name,Travel Time
Warszawa Wschodnia               ,6
Warszawa Centralna               ,3
Warszawa Zachodnia               ,48
Opoczno Południe                 ,25
Włoszczowa Północ                ,34
Zawiercie                        ,17
Dąbrowa Górnicza                 ,10
Sosnowiec Główny                 ,9
Katowice                         ,14
Tychy                            ,27
Rybnik                           ,13
Wodzisław Śląski                 ,17
Chałupki                         ,1713
