Station Name,Travel Time
Warszawa Wschodnia               ,23
Mińsk Mazowiecki                 ,9
Mrozy                            ,14
Siedlce Zachodnie                ,3
Siedlce                          ,21
Niemojki                         ,10
Sarnaki                          ,7
Siemiatycze                      ,10
Nurzec                           ,12
Czeremcha                        ,18
Hajnówka                         ,20
Bielsk Podlaski                  ,27
Białystok Zielone Wzgórza        ,3
Białystok                        ,1910
