Station Name,Travel Time
Warszawa Wschodnia               ,38
Pilawa                           ,28
Dęblin                           ,13
Puławy Miasto                    ,16
Nałęczów                         ,15
Lublin Zachodni                  ,5
Lublin Główny                    ,10
Świdnik Miasto                   ,23
Trawniki                         ,12
Rejowiec                         ,13
Chełm Miasto                     ,4
Chełm                            ,19
Dorohusk                         ,15
Jahodyn                          ,1725
