Station Name,Travel Time
Krynica Zdrój                    ,10
Muszyna Zdrój                    ,2
Muszyna                          ,13
Żegiestów Zdrój                  ,10
Wierchomla Wielka                ,4
Łomnica Zdrój                    ,4
Piwniczna Zdrój                  ,7
Rytro                            ,8
Stary Sącz                       ,7
Nowy Sącz                        ,28
Grybów                           ,4
Stróże                           ,7
Bobowa Miasto                    ,12
Bogoniowice Ciężkowice           ,13
Tuchów                           ,19
Tarnów                           ,63
Kraków Główny                    ,1024
