Station Name,Travel Time
Białystok                        ,5
Białystok Zielone Wzgórza        ,35
Bielsk Podlaski                  ,20
Hajnówka                         ,18
Czeremcha                        ,13
Nurzec                           ,10
Siemiatycze                      ,6
Sarnaki                          ,11
Niemojki                         ,22
Siedlce                          ,3
Siedlce Zachodnie                ,17
Mrozy                            ,11
Mińsk Mazowiecki                 ,22
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,0550
