Station Name,Travel Time
Hrubieszów Miasto                ,11
Werbkowice                       ,30
Zamość Wschód                    ,2
Zamość Starówka                  ,3
Zamość                           ,11
Zawada                           ,18
Izbica                           ,12
Krasnystaw Miasto                ,24
Trawniki                         ,16
Świdnik Miasto                   ,9
Lublin Główny                    ,5
Lublin Zachodni                  ,12
Nałęczów                         ,10
Puławy Miasto                    ,11
Dęblin                           ,24
Pilawa                           ,12
Otwock                           ,19
Warszawa Wschodnia               ,6
Warszawa Centralna               ,3
Warszawa Zachodnia               ,30
Sochaczew                        ,13
Łowicz Główny                    ,21
Kutno                            ,22
Koło                             ,14
Konin                            ,13
Słupca                           ,12
Września                         ,19
Swarzędz                         ,18
Poznań Główny                    ,18
Szamotuły                        ,9
Wronki                           ,21
Krzyż                            ,16
Dobiegniew                       ,27
Choszczno                        ,30
Stargard                         ,20
Szczecin Dąbie                   ,12
Szczecin Główny                  ,12
Szczecin Dąbie                   ,16
Goleniów                         ,17
Wysoka Kamieńska                 ,21
Międzyzdroje                     ,12
Świnoujście                      ,0403
