Station Name,Travel Time
Przemyśl Główny                  ,3
Przemyśl Zasanie                 ,13
Radymno                          ,9
Jarosław                         ,9
Przeworsk                        ,12
Łańcut                           ,10
Rzeszów Główny                   ,13
Sędziszów Małopolski             ,5
Ropczyce                         ,7
Dębica                           ,15
Tarnów                           ,12
Brzesko Okocim                   ,7
Bochnia                          ,18
Kraków Płaszów                   ,5
Kraków Główny                    ,17
Krzeszowice                      ,8
Trzebinia                        ,3
Chrzanów Śródmieście             ,14
Oświęcim                         ,20
Czechowice-Dziedzice             ,26
Zebrzydowice                     ,7
Petrovice u Karviné              ,0812
