Station Name,Travel Time
Kraków Główny                    ,18
Krzeszowice                      ,9
Trzebinia                        ,10
Jaworzno Szczakowa               ,9
Mysłowice                        ,10
Katowice                         ,13
Zabrze                           ,6
Gliwice                          ,27
Kędzierzyn Koźle                 ,24
Głogówek                         ,22
Prudnik                          ,30
Nysa                             ,21
Otmuchów                         ,11
Paczków                          ,12
Kamieniec Ząbkowicki             ,10
Bardo Śląskie                    ,8
Kłodzko Główne                   ,2
Kłodzko Miasto                   ,3
Kłodzko Główne                   ,20
Nowa Ruda                        ,30
Jedlina-Zdrój                    ,7
Wałbrzych Główny                 ,17
Sędzisław                        ,15
Janowice Wielkie                 ,15
Jelenia Góra                     ,0654
