Station Name,Travel Time
Łódź Fabryczna                   ,7
Łódź Widzew                      ,14
Koluszki                         ,18
Skierniewice                     ,12
Żyrardów                         ,19
Warszawa Zachodnia               ,5
Warszawa Centralna               ,6
Warszawa Wschodnia               ,14
Legionowo                        ,8
Nowy Dwór Mazowiecki             ,30
Ciechanów                        ,15
Mława                            ,9
Działdowo                        ,31
Iława Główna                     ,16
Prabuty                          ,18
Malbork                          ,11
Tczew                            ,15
Gdańsk Główny                    ,3
Gdańsk Wrzeszcz                  ,3
Gdańsk Oliwa                     ,3
Sopot                            ,8
Gdynia Główna                    ,11
Rumia                            ,10
Wejherowo                        ,22
Lębork                           ,70
Słupsk                           ,18
Sławno                           ,42
Koszalin                         ,26
Ustronie Morskie                 ,12
Kołobrzeg                        ,0819
