Station Name,Travel Time
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,22
Żyrardów                         ,12
Skierniewice                     ,21
Koluszki                         ,23
Piotrków Trybunalski             ,26
Radomsko                         ,23
Częstochowa                      ,4
Częstochowa Stradom              ,21
Lubliniec                        ,32
Opole Główne                     ,21
Brzeg                            ,8
Oława                            ,21
Wrocław Główny                   ,34
Jaworzyna Śląska                 ,8
Świebodzice                      ,13
Wałbrzych Miasto                 ,11
Wałbrzych Główny                 ,17
Sędzisław                        ,13
Janowice Wielkie                 ,16
Jelenia Góra                     ,0809
