Station Name,Travel Time
Białystok                        ,4
Białystok Zielone Wzgórza        ,15
Łapy                             ,23
Szepietowo                       ,12
Czyżew                           ,13
Małkinia                         ,16
Łochów                           ,12
Tłuszcz                          ,10
Wołomin                          ,17
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,30
Żyrardów                         ,13
Skierniewice                     ,23
Koluszki                         ,15
Łódź Widzew                      ,9
Łódź Chojny                      ,15
Pabianice                        ,10
Łask                             ,8
Zduńska Wola                     ,13
Sieradz                          ,31
Kalisz                           ,16
Ostrów Wielkopolski              ,31
Twardogóra                       ,14
Oleśnica Rataje                  ,21
Wrocław Nadodrze                 ,4
Wrocław Mikołajów                ,5
Wrocław Główny                   ,1617
