Station Name,Travel Time
Kraków Główny                    ,34
Miechów                          ,39
Włoszczowa Północ                ,33
Opoczno Południe                 ,64
Warszawa Zachodnia               ,5
Warszawa Centralna               ,6
Warszawa Wschodnia               ,19
Wołomin                          ,10
Tłuszcz                          ,12
Łochów                           ,17
Małkinia                         ,14
Czyżew                           ,12
Szepietowo                       ,21
Łapy                             ,15
Białystok Zielone Wzgórza        ,3
Białystok                        ,33
Sokółka                          ,22
Dąbrowa Białostocka              ,23
Augustów                         ,24
Suwałki                          ,28
Trakiszki                        ,15
Mockava                          ,0439
