Station Name,Travel Time
Kraków Główny                    ,43
Bochnia                          ,8
Brzesko Okocim                   ,15
Tarnów                           ,19
Tuchów                           ,13
Bogoniowice Ciężkowice           ,16
Bobowa Miasto                    ,8
Stróże                           ,4
Grybów                           ,29
Nowy Sącz                        ,6
Stary Sącz                       ,8
Rytro                            ,6
Piwniczna Zdrój                  ,4
Łomnica Zdrój                    ,4
Wierchomla Wielka                ,10
Żegiestów Zdrój                  ,12
Muszyna                          ,2
Muszyna Zdrój                    ,10
Krynica Zdrój                    ,0407
