Station Name,Travel Time
Przemyśl Główny                  ,3
Przemyśl Zasanie                 ,21
Jarosław                         ,9
Przeworsk                        ,12
Łańcut                           ,10
Rzeszów Główny                   ,23
Dębica                           ,15
Tarnów                           ,18
Bochnia                          ,18
Kraków Płaszów                   ,5
Kraków Główny                    ,20
Krzeszowice                      ,8
Trzebinia                        ,3
Chrzanów Śródmieście             ,14
Oświęcim                         ,20
Czechowice-Dziedzice             ,31
Żory                             ,10
Rybnik                           ,13
Wodzisław Śląski                 ,17
Chałupki                         ,6
Bohumín                          ,1118
