Station Name,Travel Time
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,28
Sochaczew                        ,12
Łowicz Główny                    ,20
Kutno                            ,31
Włocławek                        ,19
Aleksandrów Kujawski             ,13
Toruń Główny                     ,17
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,3
Bydgoszcz Leśna                  ,4
Bydgoszcz Główna                 ,25
Nakło nad Notecią                ,16
Wyrzysk Osiek                    ,28
Piła Główna                      ,1745
