Station Name,Travel Time
Jahodyn                          ,15
Dorohusk                         ,18
Chełm                            ,3
Chełm Miasto                     ,13
Rejowiec                         ,12
Trawniki                         ,18
Świdnik Miasto                   ,10
Lublin Główny                    ,6
Lublin Zachodni                  ,16
Nałęczów                         ,13
Puławy Miasto                    ,13
Dęblin                           ,28
Pilawa                           ,44
Warszawa Wschodnia               ,0420
