Station Name,Travel Time
Kraków Główny                    ,69
Tarnów                           ,19
Tuchów                           ,13
Bogoniowice Ciężkowice           ,12
Bobowa Miasto                    ,8
Stróże                           ,4
Grybów                           ,27
Nowy Sącz                        ,14
Stary Sącz                       ,8
Rytro                            ,6
Piwniczna Zdrój                  ,8
Łomnica Zdrój                    ,4
Wierchomla Wielka                ,10
Żegiestów Zdrój                  ,13
Muszyna                          ,2
Muszyna Zdrój                    ,10
Krynica Zdrój                    ,1246
