Station Name,Travel Time
Chełm                            ,3
Chełm Miasto                     ,10
Rejowiec                         ,10
Trawniki                         ,17
Świdnik Miasto                   ,9
Lublin Główny                    ,5
Lublin Zachodni                  ,12
Nałęczów                         ,10
Puławy Miasto                    ,11
Dęblin                           ,24
Pilawa                           ,12
Otwock                           ,19
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,1823
