Station Name,Travel Time
Lublin Główny                    ,5
Lublin Zachodni                  ,12
Nałęczów                         ,10
Puławy Miasto                    ,10
Dęblin                           ,24
Pilawa                           ,12
Otwock                           ,18
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,29
Sochaczew                        ,13
Łowicz Główny                    ,20
Kutno                            ,22
Koło                             ,16
Konin                            ,13
Słupca                           ,12
Września                         ,18
Swarzędz                         ,9
Poznań Główny                    ,20
Opalenica                        ,10
Nowy Tomyśl                      ,11
Zbąszyń                          ,6
Zbąszynek                        ,7
Babimost                         ,10
Sulechów                         ,17
Zielona Góra Główna              ,1523
