Station Name,Travel Time
Lublin Główny                    ,4
Lublin Zachodni                  ,11
Nałęczów                         ,10
Puławy Miasto                    ,30
Pionki Zachodnie                 ,13
Radom Główny                     ,26
Skarżysko Kamienna               ,6
Suchedniów                       ,25
Kielce                           ,34
Włoszczowa                       ,33
Zawiercie                        ,16
Dąbrowa Górnicza                 ,3
Będzin Miasto                    ,7
Sosnowiec Główny                 ,9
Katowice                         ,0733
