Station Name,Travel Time
Kraków Główny                    ,18
Krzeszowice                      ,9
Trzebinia                        ,10
Jaworzno Szczakowa               ,9
Mysłowice                        ,10
Katowice                         ,13
Zabrze                           ,7
Gliwice                          ,25
Kędzierzyn Koźle                 ,25
Głogówek                         ,22
Prudnik                          ,30
Nysa                             ,21
Otmuchów                         ,12
Paczków                          ,11
Kamieniec Ząbkowicki             ,13
Ząbkowice Śląskie                ,25
Dzierżoniów Śląski               ,20
Świdnica Miasto                  ,10
Jaworzyna Śląska                 ,8
Świebodzice                      ,13
Wałbrzych Miasto                 ,10
Wałbrzych Główny                 ,16
Sędzisław                        ,13
Janowice Wielkie                 ,15
Jelenia Góra                     ,1509
