Station Name,Travel Time
Przemyśl Główny                  ,3
Przemyśl Zasanie                 ,13
Radymno                          ,9
Jarosław                         ,10
Przeworsk                        ,13
Łańcut                           ,11
Rzeszów Główny                   ,14
Sędziszów Małopolski             ,6
Ropczyce                         ,8
Dębica                           ,16
Tarnów                           ,13
Brzesko Okocim                   ,7
Bochnia                          ,18
Kraków Płaszów                   ,6
Kraków Główny                    ,32
Miechów                          ,36
Włoszczowa Północ                ,28
Opoczno Południe                 ,65
Warszawa Gdańska                 ,1723
