Station Name,Travel Time
Lublin Główny                    ,6
Lublin Zachodni                  ,12
Nałęczów                         ,11
Puławy Miasto                    ,31
Pionki Zachodnie                 ,14
Radom Główny                     ,23
Przysucha                        ,9
Drzewica                         ,23
Tomaszów Mazowiecki              ,28
Łódź Widzew                      ,8
Łódź Chojny                      ,14
Pabianice                        ,10
Łask                             ,7
Zduńska Wola                     ,12
Sieradz                          ,30
Kalisz                           ,31
Pleszew                          ,11
Jarocin                          ,19
Środa Wielkopolska               ,24
Poznań Główny                    ,0835
