Station Name,Travel Time
Lublin Główny                    ,4
Lublin Zachodni                  ,11
Nałęczów                         ,9
Puławy Miasto                    ,31
Pionki Zachodnie                 ,14
Radom Główny                     ,27
Skarżysko Kamienna               ,7
Suchedniów                       ,26
Kielce                           ,34
Włoszczowa                       ,17
Koniecpol                        ,27
Częstochowa Stradom              ,20
Lubliniec                        ,30
Opole Główne                     ,19
Brzeg                            ,8
Oława                            ,17
Wrocław Główny                   ,1629
